ADM1740A,ADM1740,20159,0,0,0
ADM1740M,ADM1740,20161,0,0,0
ADM1740N,ADM1740,20161,0,0,0
ADM1740P,ADM1740,20161,0,0,0
ADM3302M,ADM3302,20161,0,0,0
ADM3994,ADM3994,20159,0,0,0
ADM3313A,ADM3313,20159,0,0,0
ADM3313B,ADM3313,20159,0,0,0
ADM3313C,ADM3313,20159,0,0,0
ADM3313M,ADM3313,20161,0,0,0
ADM3313N,ADM3313,20161,0,0,0
ADM3322A,ADM3322,20159,0,0,0
ADM3322B,ADM3322,20159,0,0,0
ADM3322M,ADM3322,20161,0,0,0
ADM2304A,ADM2304,20159,1,0,0
ADM2304B,ADM2304,20159,1,0,0
ADM2304M,ADM2304,20161,1,0,0
ADM2304N,ADM2304,20161,1,0,0
ADM2304P,ADM2304,20161,1,0,0
ADM2304Q,ADM2304,20161,1,0,0
ADM2304R,ADM2304,20161,1,0,0
ADM2304S,ADM2304,20161,1,0,0
ADM2341A,ADM2341,20159,0,0,0
ADM2341B,ADM2341,20159,0,0,0
ADM2341C,ADM2341,20159,0,0,0
ADM2341D,ADM2341,20159,0,0,0
ADM2341M,ADM2341,20161,0,0,0
ADM2341N,ADM2341,20161,0,0,0
ADM2341P,ADM2341,20161,0,0,0
ADM2341Q,ADM2341,20161,0,0,0
ADM2341R,ADM2341,20161,0,0,0
ADM3326A,ADM3326,20159,0,0,0
ADM3326B,ADM3326,20159,0,0,0
ADM3326M,ADM3326,20161,0,0,0
ADM3326N,ADM3326,20161,0,0,0
ADM3345A,ADM3345,20159,0,0,0
ADM3345B,ADM3345,20159,0,0,0
ADM3345M,ADM3345,20161,0,0,0
ADM3351A,ADM3351,20159,0,0,0
ADM3351B,ADM3351,20159,0,0,0
ADM3351M,ADM3351,20161,0,0,0
ADM3351N,ADM3351,20161,0,0,0
ADM2350A,ADM2350,20159,0,0,0
ADM2350B,ADM2350,20159,0,0,0
ADM2350M,ADM2350,20161,0,0,0
ADM2350N,ADM2350,20161,0,0,0
ADM2350P,ADM2350,20161,0,0,0
ADM2350Q,ADM2350,20161,0,0,0
ADM2350R,ADM2350,20161,0,0,0
ADM2350S,ADM2350,20161,0,0,0
ADM4311A,ADM4311,20159,0,0,0
ADM4311B,ADM4311,20159,0,0,0
ADM4311C,ADM4311,20159,0,0,0
ADM4311M,ADM4311,20161,0,0,0
ADM4311N,ADM4311,20161,0,0,0
ADM4311P,ADM4311,20161,0,0,0
ADM4311Q,ADM4311,20161,0,0,0
ADM4311R,ADM4311,20161,0,0,0
ADM4325A,ADM4325,20159,0,0,0
ADM4325M,ADM4325,20161,0,0,0
ADM3360A,ADM3360,20159,0,0,0
ADM3360B,ADM3360,20159,0,0,0
ADM3360C,ADM3360,20159,0,0,0
ADM3360M,ADM3360,20161,0,0,0
ADM3360N,ADM3360,20161,0,0,0
ADM3718A,ADM3718,20159,0,0,0
ADM3718M,ADM3718,20161,0,0,0
ADM3718N,ADM3718,20161,0,0,0
ADM4329M,ADM4329,20161,0,0,0
ADM3723A,ADM3723,20159,0,0,0
ADM4338A,ADM4338,20159,0,0,0
ADM4338M,ADM4338,20161,0,0,0
ADM3734A,ADM3734,20159,0,0,0
ADM4342A,ADM4342,20159,0,0,0
ADM4342B,ADM4342,20159,0,0,0
ADM4342M,ADM4342,20161,0,0,0
ADM4342N,ADM4342,20161,0,0,0
ADM4346A,ADM4346,20159,0,0,0
ADM4346B,ADM4346,20159,0,0,0
ADM4346M,ADM4346,20161,0,0,0
ADM2703A,ADM2703,20159,1,0,0
ADM2703B,ADM2703,20159,1,0,0
ADM2703C,ADM2703,20159,1,0,0
ADM2703M,ADM2703,20161,0,0,0
ADM2736A,ADM2736,20159,0,0,0
ADM2736B,ADM2736,20159,0,0,0
ADM2736C,ADM2736,20159,0,0,0
ADM2736M,ADM2736,20161,0,0,0
ADM3743A,ADM3743,20159,0,0,0
ADM4351A,ADM4351,20159,0,0,0
ADM4351M,ADM4351,20161,0,0,0
ADM4378M,ADM4378,20161,0,0,0
ADM3750A,ADM3750,20159,0,0,0
ADM2750A,ADM2750,20159,0,0,0
ADM2750M,ADM2750,20161,0,0,0
ADM2750N,ADM2750,20161,0,0,0
ADM3779M,ADM3779,20161,0,0,0
ADM4312M,ADM4312,20161,0,0,0
ADM4396A,ADM4396,20159,0,0,0
ADM4396B,ADM4396,20159,0,0,0
ADM4396M,ADM4396,20161,0,0,0
ADM4396N,ADM4396,20161,0,0,0
ADM4322A,ADM4322,20159,0,0,0
ADM4322M,ADM4322,20161,0,0,0
ADM4718M,ADM4718,20161,0,0,0
ADM4726A,ADM4726,20159,0,0,0
ADM4328A,ADM4328,20159,0,0,0
ADM4328M,ADM4328,20161,0,0,0
ADM4339M,ADM4339,20161,0,0,0
ADM4737M,ADM4737,20161,0,0,0
ADM3301A,ADM3301,20159,0,0,0
ADM3301B,ADM3301,20159,0,0,0
ADM3301C,ADM3301,20159,0,0,0
ADM3301D,ADM3301,20159,0,0,0
ADM3301M,ADM3301,20161,0,0,0
ADM3301N,ADM3301,20161,0,0,0
ADM3301P,ADM3301,20161,0,0,0
ADM1701A,ADM1701,20159,0,0,0
ADM1701B,ADM1701,20159,0,0,0
ADM1701M,ADM1701,20161,0,0,0
ADM4344A,ADM4344,20159,0,0,0
ADM4344B,ADM4344,20159,0,0,0
ADM4344M,ADM4344,20161,0,0,0
ADM4348A,ADM4348,20159,0,0,0
ADM4348B,ADM4348,20159,0,0,0
ADM4348M,ADM4348,20161,0,0,0
ADM4348N,ADM4348,20161,0,0,0
ADM4354A,ADM4354,20159,0,0,0
ADM4354M,ADM4354,20161,0,0,0
ADM4741M,ADM4741,20161,0,0,0
ADM2302A,ADM2302,20159,0,0,0
ADM2302B,ADM2302,20159,0,0,0
ADM2302C,ADM2302,20159,0,0,0
ADM2302D,ADM2302,20159,0,0,0
ADM2302E,ADM2302,20159,0,0,0
ADM2302M,ADM2302,20161,0,0,0
ADM2302N,ADM2302,20161,0,0,0
ADM2302P,ADM2302,20161,0,0,0
ADM2302Q,ADM2302,20161,0,0,0
ADM4379M,ADM4379,20161,0,0,0
ADM4712M,ADM4712,20161,0,0,0
ADM4746M,ADM4746,20161,0,0,0
ADM4716A,ADM4716,20159,0,0,0
ADM4751A,ADM4751,20159,0,0,0
ADM4725M,ADM4725,20161,0,0,0
ADM2320A,ADM2320,20159,0,0,0
ADM2320B,ADM2320,20159,0,0,0
ADM2320C,ADM2320,20159,0,0,0
ADM2320D,ADM2320,20159,0,0,0
ADM2320E,ADM2320,20159,0,0,0
ADM2320F,ADM2320,20159,0,0,0
ADM2320G,ADM2320,20159,0,0,0
ADM2320M,ADM2320,20161,0,0,0
ADM2320N,ADM2320,20161,0,0,0
ADM2320P,ADM2320,20161,0,0,0
ADM2320Q,ADM2320,20161,0,0,0
ADM3321A,ADM3321,20159,0,0,0
ADM3321B,ADM3321,20159,0,0,0
ADM3321C,ADM3321,20159,0,0,0
ADM3321M,ADM3321,20161,0,0,0
ADM3321N,ADM3321,20161,0,0,0
ADM3333A,ADM3333,20159,0,0,0
ADM3333B,ADM3333,20159,0,0,0
ADM4736M,ADM4736,20161,0,0,0
ADM2342A,ADM2342,20159,0,0,0
ADM2342B,ADM2342,20159,0,0,0
ADM2342M,ADM2342,20161,0,0,0
ADM2342N,ADM2342,20161,0,0,0
ADM2342P,ADM2342,20161,0,0,0
ADM3343M,ADM3343,20161,0,0,0
ADM3349A,ADM3349,20159,0,0,0
ADM3349B,ADM3349,20159,0,0,0
ADM3349M,ADM3349,20161,0,0,0
ADM4740A,ADM4740,20159,0,0,0
ADM3352A,ADM3352,20159,0,0,0
ADM3352B,ADM3352,20159,0,0,0
ADM3352M,ADM3352,20161,0,0,0
ADM3352N,ADM3352,20161,0,0,0
ADM4744A,ADM4744,20159,0,0,0
ADM3396A,ADM3396,20159,0,0,0
