Lecture,1,ADM1340 M,20141,Monday,11:30,13:00,DMS 1150,Lamia Chourou
Lecture,2,ADM1340 M,20141,Thursday,13:00,14:30,DMS 1150,Lamia Chourou
Discussion Group,1,ADM1340 M,20141,Thursday,16:00,17:30,MRT 251,N/A
Lecture,1,ADM1340 N,20141,Monday,19:00,22:00,DMS 1150,Devinder Gandhi
Discussion Group,1,ADM1340 N,20141,Monday,17:30,19:00,TBT 323,N/A
Lecture,1,ADM1340 P,20141,Monday,16:00,17:30,DMS 1150,Lamia Chourou
Lecture,2,ADM1340 P,20141,Wednesday,14:30,16:00,DMS 1150,Lamia Chourou
Discussion Group,1,ADM1340 P,20141,Wednesday,17:30,19:00,MRT 252,N/A
Lecture,1,ADM1340 Q,20141,Wednesday,16:00,17:30,DMS 1150,Marc Tassé
Lecture,2,ADM1340 Q,20141,Friday,14:30,16:00,DMS 1150,Marc Tassé
Discussion Group,1,ADM1340 Q,20141,Wednesday,19:00,20:30,UCU 205,N/A
Lecture,1,ADM1340 R,20141,Thursday,19:00,22:00,DMS 1150,Devinder Gandhi
Discussion Group,1,ADM1340 R,20141,Thursday,17:30,19:00,TBT 323,N/A
Lecture,1,ADM1340 S,20141,Wednesday,10:00,11:30,DMS 1150,Marc Tassé
Lecture,2,ADM1340 S,20141,Friday,08:30,10:00,DMS 1150,Marc Tassé
Discussion Group,1,ADM1340 S,20141,Friday,11:30,13:00,SMD 422,N/A
Lecture,1,ADM1340 T,20141,Wednesday,19:00,22:00,DMS 1150,Kevin Petit-Frère
Discussion Group,1,ADM1340 T,20141,Wednesday,17:30,19:00,UCU 205,N/A
Lecture,1,ADM1340 V,20141,Tuesday,16:00,17:30,DMS 1150,James Kerr
Lecture,2,ADM1340 V,20141,Thursday,14:30,16:00,DMS 1150,James Kerr
Discussion Group,1,ADM1340 V,20141,Thursday,17:30,19:00,MRT 219,N/A
Lecture,1,ADM1340 X,20145,Monday,15:00,18:00,MRT 212,N/A
Lecture,1,ADM1340 Y,20145,Tuesday,15:00,18:00,MRT 212,N/A
Lecture,1,ADM1370 A,20139,Tuesday,11:30,13:00,MRT 218,Sadiq Abbas
Lecture,2,ADM1370 A,20139,Friday,13:00,14:30,MRT 218,Sadiq Abbas
Lecture,1,ADM1370 M,20141,Wednesday,13:00,14:30,DMS 1160,Craig Kuziemsky
Lecture,2,ADM1370 M,20141,Friday,11:30,13:00,DMS 1160,Umar Ruhi
Lecture,1,ADM1370 N,20141,Tuesday,11:30,13:00,DMS 1160,Craig Kuziemsky
Lecture,2,ADM1370 N,20141,Friday,13:00,14:30,DMS 1160,Umar Ruhi
Lecture,1,ADM1370 P,20141,Tuesday,10:00,11:30,DMS 1160,Craig Kuziemsky
Lecture,2,ADM1370 P,20141,Thursday,08:30,10:00,DMS 1160,Umar Ruhi
Lecture,1,ADM1370 Q,20141,Monday,13:00,14:30,DMS 1160,Sadiq Abbas
Lecture,2,ADM1370 Q,20141,Wednesday,11:30,13:00,DMS 1160,Sadiq Abbas
Lecture,1,ADM1500 A,20139,Tuesday,19:00,22:00,DMS 1160,Jamel Cherbib
Lecture,1,ADM1500 M,20141,Wednesday,16:00,19:00,DMS 1160,Kouami Seli Apedome
Lecture,1,ADM1500 X,20145,Monday,18:00,21:00,MRT 212,N/A
Lecture,1,ADM1501 A,20139,Thursday,19:00,22:00,DMS 1160,Abdenour Slaouti
Lecture,1,ADM1501 M,20141,Thursday,19:00,22:00,CBY C03,Abdenour Slaouti
Lecture,1,ADM1701 A,20139,Monday,08:30,10:00,CBY C03,Marie-Lise Maclean
Lecture,2,ADM1701 A,20139,Thursday,10:00,11:30,CBY C03,Marie-Lise Maclean
Lecture,1,ADM1701 B,20139,Thursday,19:00,22:00,DMS 1160,Abdenour Slaouti
Lecture,1,ADM1701 M,20141,Thursday,19:00,22:00,CBY C03,Abdenour Slaouti
Lecture,1,ADM1700 A,20139,Monday,10:00,11:30,DMS 1160,Ameur Boujenoui
Lecture,2,ADM1700 A,20139,Wednesday,08:30,10:00,DMS 1160,Ameur Boujenoui
Discussion Group,1,ADM1700 A,20139,Monday,11:30,13:00,VNR 1095,N/A
Discussion Group,2,ADM1700 A,20139,Thursday,16:00,17:30,CBY E015,N/A
Discussion Group,3,ADM1700 A,20139,Tuesday,14:30,16:00,LMX 390,N/A
Discussion Group,4,ADM1700 A,20139,Tuesday,14:30,16:00,LPR 154,N/A
Discussion Group,5,ADM1700 A,20139,Wednesday,14:30,16:00,CBY E015,N/A
Discussion Group,6,ADM1700 A,20139,Thursday,11:30,13:00,FSS 4012,N/A
Discussion Group,7,ADM1700 A,20139,Thursday,11:30,13:00,SWT 125,N/A
Lecture,1,ADM1700 B,20139,Tuesday,19:00,22:00,DMS 1160,Jamel Cherbib
Discussion Group,1,ADM1700 B,20139,Tuesday,17:30,19:00,MRT 219,N/A
Discussion Group,2,ADM1700 B,20139,Wednesday,17:30,19:00,UCU 205,N/A
Lecture,1,ADM1700 M,20141,Wednesday,16:00,19:00,DMS 1160,Kouami Seli Apedome
Discussion Group,1,ADM1700 M,20141,Tuesday,17:30,19:00,MRT 221,N/A
Lecture,1,ADM1700 X,20145,Monday,18:00,21:00,MRT 212,N/A
Discussion Group,1,ADM1700 X,20145,Wednesday,16:00,17:30,SMD 224,N/A
Lecture,1,ADM1770 A,20139,Wednesday,13:00,14:30,TBT 070,Muriel Mignerat
Lecture,2,ADM1770 A,20139,Friday,11:30,13:00,TBT 070,Muriel Mignerat
Lecture,1,ADM1770 M,20141,Thursday,08:30,11:30,DMS 1150,Martin Sirois
Lecture,1,ADM1770 N,20141,Friday,08:30,11:30,CBY B205,Muriel Mignerat
Lecture,1,ADM1740 A,20139,Tuesday,13:00,14:30,DMS 1120,Walid Ben Amar
Lecture,2,ADM1740 A,20139,Thursday,11:30,13:00,DMS 1120,Walid Ben Amar
Discussion Group,1,ADM1740 A,20139,Wednesday,16:00,17:30,SMD 422,N/A
Lecture,1,ADM1740 M,20141,Monday,10:00,11:30,DMS 1120,Walid Ben Amar
Lecture,2,ADM1740 M,20141,Wednesday,08:30,10:00,DMS 1120,Walid Ben Amar
Discussion Group,1,ADM1740 M,20141,Tuesday,10:00,11:30,DMS 1120,N/A
Lecture,1,ADM1740 N,20141,Tuesday,11:30,13:00,DMS 1120,Walid Ben Amar
Lecture,2,ADM1740 N,20141,Friday,13:00,14:30,DMS 1120,Walid Ben Amar
Discussion Group,1,ADM1740 N,20141,Wednesday,13:00,14:30,SMD 221,N/A
Lecture,1,ADM1740 P,20141,Tuesday,19:00,22:00,DMS 1120,Gilles Poirier
Discussion Group,1,ADM1740 P,20141,Thursday,17:30,19:00,VNR 5070,N/A
Lecture,1,ADM2302 A,20139,Monday,10:00,11:30,FSS 1006,Wojtek Michalowski
Lecture,2,ADM2302 A,20139,Wednesday,08:30,10:00,FSS 1006,Wojtek Michalowski
Discussion Group,1,ADM2302 A,20139,Monday,17:30,19:00,DMS 1120,N/A
Lecture,1,ADM2302 B,20139,Tuesday,14:30,16:00,DMS 1130,Jonathan Yu-Meng Li
Lecture,2,ADM2302 B,20139,Friday,16:00,17:30,DMS 1130,Jonathan Yu-Meng Li
Discussion Group,1,ADM2302 B,20139,Wednesday,16:00,17:30,TBT 325,N/A
Lecture,1,ADM2302 C,20139,Tuesday,11:30,13:00,DMS 1150,Jonathan Yu-Meng Li
Lecture,2,ADM2302 C,20139,Friday,13:00,14:30,DMS 1150,Jonathan Yu-Meng Li
Discussion Group,1,ADM2302 C,20139,Tuesday,14:30,16:00,VNR 3035,N/A
Lecture,1,ADM2302 D,20139,Monday,19:00,22:00,DMS 1120,Daniel Lane
Discussion Group,1,ADM2302 D,20139,Thursday,17:30,19:00,DMS 1130,N/A
Lecture,1,ADM2302 M,20141,Tuesday,13:00,14:30,DMS 1130,Rim Jaber
Lecture,2,ADM2302 M,20141,Thursday,11:30,13:00,DMS 1130,Rim Jaber
Discussion Group,1,ADM2302 M,20141,Tuesday,10:00,11:30,MRT 219,N/A
Lecture,1,ADM2302 N,20141,Monday,10:00,11:30,SCS E217,Rim Jaber
Lecture,2,ADM2302 N,20141,Wednesday,08:30,10:00,SCS E217,Rim Jaber
Discussion Group,1,ADM2302 N,20141,Thursday,16:00,17:30,UCU 205,N/A
Lecture,1,ADM2302 P,20141,Wednesday,16:00,19:00,FSS 1030,Davood Astaraky
Discussion Group,1,ADM2302 P,20141,Tuesday,17:30,19:00,TBT 325,N/A
Lecture,1,ADM2302 Q,20141,Friday,17:30,20:30,DMS 1120,Rim Jaber
Discussion Group,1,ADM2302 Q,20141,Wednesday,17:30,19:00,VNR 1075,N/A
Lecture,1,ADM2302 X,20145,Wednesday,19:00,22:00,HGN 302,N/A
Discussion Group,1,ADM2302 X,20145,Thursday,17:30,19:00,FSS 1006,N/A
Lecture,1,ADM2303 A,20139,Monday,14:30,16:00,DMS 1130,David Wright
Lecture,2,ADM2303 A,20139,Thursday,16:00,17:30,DMS 1130,David Wright
Discussion Group,1,ADM2303 A,20139,Monday,17:30,19:00,UCU 205,N/A
Lecture,1,ADM2303 B,20139,Monday,16:00,17:30,DMS 1130,Sandra Schillo
Lecture,2,ADM2303 B,20139,Wednesday,14:30,16:00,DMS 1130,Sandra Schillo
Discussion Group,1,ADM2303 B,20139,Tuesday,14:30,16:00,SMD 428,N/A
Lecture,1,ADM2303 C,20139,Tuesday,10:00,11:30,FSS 1006,Sandra Schillo
Lecture,2,ADM2303 C,20139,Thursday,08:30,10:00,FSS 1006,Sandra Schillo
Discussion Group,1,ADM2303 C,20139,Wednesday,17:30,19:00,MCD 120,N/A
Lecture,1,ADM2303 D,20139,Tuesday,16:00,17:30,DMS 1120,Sarah Ben Amor
Lecture,2,ADM2303 D,20139,Thursday,14:30,16:00,DMS 1120,Sarah Ben Amor
Discussion Group,1,ADM2303 D,20139,Thursday,16:00,17:30,LMX 360,N/A
Lecture,1,ADM2303 E,20139,Wednesday,19:00,22:00,MRT 212,Surendranath Phansalker
Discussion Group,1,ADM2303 E,20139,Friday,17:30,19:00,UCU 205,N/A
Lecture,1,ADM2303 F,20139,Monday,11:30,13:00,DMS 1130,David Wright
Lecture,2,ADM2303 F,20139,Thursday,13:00,14:30,DMS 1130,David Wright
Discussion Group,1,ADM2303 F,20139,Wednesday,10:00,11:30,FTX 133,N/A
Lecture,1,ADM2303 M,20141,Wednesday,16:00,17:30,DMS 1130,Jonathan Yu-Meng Li
Lecture,2,ADM2303 M,20141,Friday,14:30,16:00,DMS 1130,Jonathan Yu-Meng Li
Discussion Group,1,ADM2303 M,20141,Thursday,13:00,14:30,UCU 205,N/A
Lecture,1,ADM2303 N,20141,Tuesday,17:30,20:30,SMD 224,Surendranath Phansalker
Discussion Group,1,ADM2303 N,20141,Wednesday,17:30,19:00,STE C0136,N/A
Lecture,1,ADM2303 X,20145,Tuesday,15:00,18:00,FSS 1006,N/A
Discussion Group,1,ADM2303 X,20145,Tuesday,19:00,20:30,FSS 1006,N/A
Lecture,1,ADM2320 A,20139,Tuesday,13:00,14:30,DMS 1150,Marzena Cedzynski
Lecture,2,ADM2320 A,20139,Thursday,11:30,13:00,DMS 1150,Marzena Cedzynski
Lecture,1,ADM2320 B,20139,Tuesday,16:00,17:30,DMS 1150,Ajax Persaud
Lecture,2,ADM2320 B,20139,Thursday,14:30,16:00,DMS 1150,Ajax Persaud
Lecture,1,ADM2320 C,20139,Monday,11:30,13:00,DMS 1120,Ajax Persaud
Lecture,2,ADM2320 C,20139,Thursday,13:00,14:30,DMS 1120,Ajax Persaud
Lecture,1,ADM2320 D,20139,Monday,16:00,17:30,DMS 1120,Ajax Persaud
Lecture,2,ADM2320 D,20139,Wednesday,14:30,16:00,DMS 1120,Ajax Persaud
Lecture,1,ADM2320 E,20139,Tuesday,19:00,22:00,ART 257,Gurprit Kindra
Lecture,1,ADM2320 F,20139,Wednesday,16:00,19:00,DMS 1150,Gurprit Kindra
Lecture,1,ADM2320 M,20141,Wednesday,19:00,22:00,DMS 1130,Marzena Cedzynski
Lecture,1,ADM2320 N,20141,Monday,19:00,22:00,DMS 1130,David Delcorde
Lecture,1,ADM2320 P,20141,Tuesday,08:30,10:00,DMS 1120,Marzena Cedzynski
Lecture,2,ADM2320 P,20141,Friday,10:00,11:30,DMS 1120,Marzena Cedzynski
Lecture,1,ADM2320 Q,20141,Wednesday,16:00,17:30,SMD 224,David Delcorde
Lecture,2,ADM2320 Q,20141,Friday,14:30,16:00,SMD 224,David Delcorde
Lecture,1,ADM2320 X,20145,Wednesday,19:00,22:00,MRT 212,N/A
Lecture,1,ADM2304 A,20139,Wednesday,16:00,17:30,DMS 1130,Tony Quon
Lecture,2,ADM2304 A,20139,Friday,14:30,16:00,DMS 1130,Tony Quon
Discussion Group,1,ADM2304 A,20139,Tuesday,14:30,16:00,MCD 120,N/A
Discussion Group,2,ADM2304 A,20139,Friday,10:00,11:30,FTX 402,N/A
Lecture,1,ADM2304 B,20139,Monday,19:00,22:00,DMS 1130,Surendranath Phansalker
Discussion Group,1,ADM2304 B,20139,Friday,13:00,14:30,TBT 323,N/A
Discussion Group,2,ADM2304 B,20139,Tuesday,17:30,19:00,LEE B163,N/A
Lecture,1,ADM2304 M,20141,Wednesday,13:00,14:30,DMS 1150,Tony Quon
Lecture,2,ADM2304 M,20141,Friday,11:30,13:00,DMS 1150,Tony Quon
Discussion Group,1,ADM2304 M,20141,Friday,08:30,10:00,MRT 221,N/A
Discussion Group,2,ADM2304 M,20141,Thursday,10:00,11:30,DMS 1140,N/A
Lecture,1,ADM2304 N,20141,Tuesday,16:00,17:30,DMS 1130,Tony Quon
Lecture,2,ADM2304 N,20141,Thursday,14:30,16:00,DMS 1130,Tony Quon
Discussion Group,1,ADM2304 N,20141,Wednesday,10:00,11:30,CBY B012,N/A
Discussion Group,2,ADM2304 N,20141,Wednesday,17:30,19:00,STE F0126,N/A
Lecture,1,ADM2304 P,20141,Wednesday,10:00,11:30,MNT 201,Jonathan Patrick
Lecture,2,ADM2304 P,20141,Friday,08:30,10:00,MNT 201,Jonathan Patrick
Discussion Group,1,ADM2304 P,20141,Thursday,16:00,17:30,MCD 120,N/A
Discussion Group,2,ADM2304 P,20141,Tuesday,08:30,10:00,TBT 323,N/A
Lecture,1,ADM2304 Q,20141,Tuesday,10:00,11:30,DMS 1150,Tony Quon
Lecture,2,ADM2304 Q,20141,Thursday,08:30,10:00,DMS 1120,Tony Quon
Discussion Group,1,ADM2304 Q,20141,Friday,13:00,14:30,LPR 154,N/A
Discussion Group,2,ADM2304 Q,20141,Thursday,13:00,14:30,LMX 242,N/A
Lecture,1,ADM2304 R,20141,Monday,19:00,22:00,SMD 425,Surendranath Phansalker
Discussion Group,1,ADM2304 R,20141,Monday,17:30,19:00,MNT 207,N/A
Discussion Group,2,ADM2304 R,20141,Tuesday,17:30,19:00,CBY D103,N/A
Lecture,1,ADM2304 S,20141,Monday,11:30,13:00,DMS 1120,Surendranath Phansalker
Lecture,2,ADM2304 S,20141,Thursday,13:00,14:30,DMS 1120,Surendranath Phansalker
Discussion Group,1,ADM2304 S,20141,Thursday,11:30,13:00,LMX 339,N/A
Discussion Group,2,ADM2304 S,20141,Tuesday,13:00,14:30,LPR 154,N/A
Lecture,1,ADM2304 X,20145,Thursday,19:00,22:00,FTX 302,N/A
Discussion Group,1,ADM2304 X,20145,Friday,17:30,19:00,FTX 302,N/A
Lecture,1,ADM2336 A,20139,Monday,08:30,10:00,DMS 1120,Jane O'Reilly
Lecture,2,ADM2336 A,20139,Thursday,10:00,11:30,DMS 1120,Jane O'Reilly
Lecture,1,ADM2336 B,20139,Tuesday,14:30,16:00,DMS 1120,Catherine Elliott
Lecture,2,ADM2336 B,20139,Friday,16:00,17:30,DMS 1120,N/A
Lecture,1,ADM2336 C,20139,Monday,14:30,16:00,DMS 1120,Silvia Bonaccio
Lecture,2,ADM2336 C,20139,Thursday,16:00,17:30,DMS 1120,Silvia Bonaccio
Lecture,1,ADM2336 D,20139,Wednesday,10:00,11:30,DMS 1130,Joanne Leck
Lecture,2,ADM2336 D,20139,Friday,08:30,10:00,DMS 1130,Joanne Leck
Lecture,1,ADM2336 E,20139,Wednesday,16:00,19:00,SMD 224,Magda Donia
