ADM1100 - Introduction To Business Mgmt.,,,,,,,,
,,DGD,1,R,17:30,19:00,MRT 219,N/A
ADM1370 - Applic Info Techn For Business,,,,,,,,
20139,ADM1370A,LEC,1,T,11:30,13:00,MRT 218,Sadiq Abbas
,,LEC,2,F,13:00,14:30,MRT 218,Sadiq Abbas
20141,ADM1370M,LEC,1,W,13:00,14:30,DMS 1160,Craig Kuziemsky
,,LEC,2,F,11:30,13:00,DMS 1160,Umar Ruhi
,ADM1370N,LEC,1,T,11:30,13:00,DMS 1160,Craig Kuziemsky
,,LEC,2,F,13:00,14:30,DMS 1160,Umar Ruhi
,ADM1370P,LEC,1,T,10:00,11:30,DMS 1160,Craig Kuziemsky
,,LEC,2,R,08:30,10:00,DMS 1160,N/A
,ADM1370Q,LEC,1,M,13:00,14:30,DMS 1160,Sadiq Abbas
,,LEC,2,W,11:30,13:00,DMS 1160,Sadiq Abbas
ADM1500 - Intro. Gestion Des Affaires,,,,,,,,
20139,ADM1500A,LEC,1,T,19:00,22:00,DMS 1160,Jamel Cherbib
20141,ADM1500M,LEC,1,W,16:00,19:00,DMS 1160,Kouami Seli Apedome
ADM1501 - Contexte Soc. Monde Affaires,,,,,,,,
20139,ADM1501A,LEC,1,R,19:00,22:00,DMS 1160,Abdenour Slaouti
20141,ADM1501M,LEC,1,R,19:00,22:00,CBY C03,Abdenour Slaouti
ADM1700 - Intro À La Gestion Affaires,,,,,,,,
20139,ADM1700A 1DGD,LEC,1,M,10:00,11:30,DMS 1160,Ameur Boujenoui
,,LEC,2,W,08:30,10:00,DMS 1160,Ameur Boujenoui
,,DGD,1,M,11:30,13:00,VNR 1095,N/A
,,DGD,2,R,16:00,17:30,CBY E015,N/A
,,DGD,3,T,14:30,16:00,LMX 390,N/A
,,DGD,4,T,14:30,16:00,LPR 154,N/A
,,DGD,5,W,14:30,16:00,CBY E015,N/A
,,DGD,6,R,11:30,13:00,FSS 4012,N/A
,,DGD,7,R,11:30,13:00,SWT 125,N/A
,ADM1700B 1DGD,LEC,1,T,19:00,22:00,DMS 1160,Jamel Cherbib
,,DGD,1,T,17:30,19:00,MRT 219,N/A
,,DGD,2,W,17:30,19:00,UCU 205,N/A
20141,ADM1700M,LEC,1,W,16:00,19:00,DMS 1160,Kouami Seli Apedome
,,DGD,1,T,17:30,19:00,MRT 221,N/A
ADM1701 - Cont. Soc. Monde Des Affaires,,,,,,,,
20139,ADM1701A,LEC,1,M,08:30,10:00,CBY C03,Marie-Lise Maclean
,,LEC,2,R,10:00,11:30,CBY C03,Marie-Lise Maclean
,ADM1701B,LEC,1,R,19:00,22:00,DMS 1160,Abdenour Slaouti
20141,ADM1701M,LEC,1,R,19:00,22:00,CBY C03,Abdenour Slaouti
ADM1740 - Comptabilité Financière,,,,,,,,
20139,ADM1740A,LEC,1,T,13:00,14:30,DMS 1120,Walid Ben Amar
,,LEC,2,R,11:30,13:00,DMS 1120,Walid Ben Amar
,,DGD,1,W,16:00,17:30,SMD 422,N/A
20141,ADM1740M,LEC,1,M,10:00,11:30,DMS 1120,Walid Ben Amar
,,LEC,2,W,08:30,10:00,DMS 1120,Walid Ben Amar
,,DGD,1,T,10:00,11:30,DMS 1120,N/A
,ADM1740N,LEC,1,T,11:30,13:00,DMS 1120,Walid Ben Amar
,,LEC,2,F,13:00,14:30,DMS 1120,Walid Ben Amar
,,DGD,1,W,13:00,14:30,SMD 221,N/A
,ADM1740P,LEC,1,T,19:00,22:00,DMS 1120,Gilles Poirier
,,DGD,1,R,17:30,19:00,VNR 5070,N/A
ADM1770 - Applic Techn Info En Gestion,,,,,,,,
20139,ADM1770A,LEC,1,W,13:00,14:30,TBT 070,Muriel Mignerat
,,LEC,2,F,11:30,13:00,TBT 070,Muriel Mignerat
20141,ADM1770M,LEC,1,R,08:30,11:30,DMS 1150,Martin Sirois
,ADM1770N,LEC,1,F,08:30,11:30,CBY B205,Muriel Mignerat
ADM2302 - Business Decision Models,,,,,,,,
20139,ADM2302A,LEC,1,M,10:00,11:30,FSS 1006,Wojtek Michalowski
,,LEC,2,W,08:30,10:00,FSS 1006,Wojtek Michalowski
,,DGD,1,M,17:30,19:00,DMS 1120,N/A
,ADM2302B,LEC,1,T,14:30,16:00,DMS 1130,Jonathan Yu-Meng Li
,,LEC,2,F,16:00,17:30,DMS 1130,Jonathan Yu-Meng Li
,,DGD,1,W,16:00,17:30,TBT 325,N/A
,ADM2302C,LEC,1,T,11:30,13:00,DMS 1150,Jonathan Yu-Meng Li
,,LEC,2,F,13:00,14:30,DMS 1150,Jonathan Yu-Meng Li
,,DGD,1,T,14:30,16:00,VNR 3035,N/A
,ADM2302D,LEC,1,M,19:00,22:00,DMS 1120,Daniel Lane
,,DGD,1,R,17:30,19:00,DMS 1130,N/A
20141,ADM2302M,LEC,1,T,13:00,14:30,DMS 1130,Rim Jaber
,,LEC,2,R,11:30,13:00,DMS 1130,Rim Jaber
,,DGD,1,T,10:00,11:30,MRT 219,N/A
,ADM2302N,LEC,1,M,10:00,11:30,SCS E217,Rim Jaber
,,LEC,2,W,08:30,10:00,SCS E217,Rim Jaber
,,DGD,1,R,16:00,17:30,UCU 205,N/A
,ADM2302P,LEC,1,W,16:00,19:00,FSS 1030,Davood Astaraky
,,DGD,1,T,17:30,19:00,TBT 325,N/A
,ADM2302Q,LEC,1,F,17:30,20:30,DMS 1120,Rim Jaber
,,DGD,1,W,17:30,19:00,VNR 1075,N/A
ADM2303 - Statistics For Management,,,,,,,,
20139,ADM2303A,LEC,1,M,14:30,16:00,DMS 1130,David Wright
,,LEC,2,R,16:00,17:30,DMS 1130,David Wright
,,DGD,1,M,17:30,19:00,UCU 205,N/A
,ADM2303B,LEC,1,M,16:00,17:30,DMS 1130,Sandra Schillo
,,LEC,2,W,14:30,16:00,DMS 1130,Sandra Schillo
,,DGD,1,T,14:30,16:00,SMD 428,N/A
,ADM2303C,LEC,1,T,10:00,11:30,FSS 1006,Sandra Schillo
,,LEC,2,R,08:30,10:00,FSS 1006,Sandra Schillo
,,DGD,1,W,17:30,19:00,MCD 120,N/A
,ADM2303D,LEC,1,T,16:00,17:30,DMS 1120,Sarah Ben Amor
,,LEC,2,R,14:30,16:00,DMS 1120,Sarah Ben Amor
,,DGD,1,R,16:00,17:30,LMX 360,N/A
,ADM2303E,LEC,1,W,19:00,22:00,MRT 212,Surendranath Phansalker
,,DGD,1,F,17:30,19:00,UCU 205,N/A
,ADM2303F,LEC,1,M,11:30,13:00,DMS 1130,David Wright
,,LEC,2,R,13:00,14:30,DMS 1130,David Wright
,,DGD,1,W,10:00,11:30,FTX 133,N/A
20141,ADM2303M,LEC,1,W,16:00,17:30,DMS 1130,Jonathan Yu-Meng Li
,,LEC,2,F,14:30,16:00,DMS 1130,Jonathan Yu-Meng Li
,,DGD,1,R,13:00,14:30,UCU 205,N/A
,ADM2303N,LEC,1,T,17:30,20:30,SMD 224,Surendranath Phansalker
